# City, Week,Frequency
Kasaragod,6,1
0,0,0
0,0,0
0,0,0
0,0,0
Kasaragod,12,19
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Kasaragod,13,70
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Kasaragod,14,53
0,0,0
0,0,0
Delhi,10,3
0,0,0
0,0,0
0,0,0
Delhi,11,4
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Delhi,12,21
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Delhi,13,44
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Delhi,14,431
0,0,0
Jaipur,10,2
0,0,0
Jaipur,11,2
0,0,0
Jaipur,12,4
0,0,0
Jaipur,13,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Jaipur,14,84
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Pune,11,15
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Pune,12,12
0,0,0
0,0,0
0,0,0
Pune,13,10
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Pune,14,66
0,0,0
0,0,0
Mumbai,11,7
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Mumbai,12,22
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Mumbai,13,56
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Mumbai,14,321
0,0,0
Thane,11,2
0,0,0
0,0,0
Thane,12,4
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Thane,13,17
0,0,0
0,0,0
0,0,0
Thane,14,54
0,0,0
0,0,0
0,0,0
0,0,0
Gautam Buddha Nagar,12,8
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Gautam Buddha Nagar,13,23
0,0,0
0,0,0
0,0,0
0,0,0
Gautam Buddha Nagar,14,27
0,0,0
0,0,0
0,0,0
Chennai,12,4
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Chennai,13,14
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Chennai,14,80
Coimbatore,12,1
Coimbatore,13,4
0,0,0
Coimbatore,14,57
0,0,0
0,0,0
0,0,0
Indore,13,20
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Indore,14,115
